total : 1040
10000	-	20000	:	10
20000	-	30000	:	35
30000	-	40000	:	74
40000	-	50000	:	172
50000	-	60000	:	247
60000	-	70000	:	209
70000	-	80000	:	99
80000	-	90000	:	57
90000	-	100000	:	52
100000	-	110000	:	12
110000	-	120000	:	14
120000	-	130000	:	15
130000	-	140000	:	6
140000	-	150000	:	8
150000	-	160000	:	5
170000	-	180000	:	6
180000	-	190000	:	2
190000	-	200000	:	3
210000	-	220000	:	1
220000	-	230000	:	2
230000	-	240000	:	1
240000	-	250000	:	2
260000	-	270000	:	1
280000	-	290000	:	1
300000	-	310000	:	1
320000	-	330000	:	1
380000	-	390000	:	2
390000	-	400000	:	1
660000	-	670000	:	1
