total : 614
0	-	10000	:	1
10000	-	20000	:	9
20000	-	30000	:	39
30000	-	40000	:	93
40000	-	50000	:	136
50000	-	60000	:	108
60000	-	70000	:	64
70000	-	80000	:	40
80000	-	90000	:	35
90000	-	100000	:	22
100000	-	110000	:	14
110000	-	120000	:	9
120000	-	130000	:	7
130000	-	140000	:	10
140000	-	150000	:	1
150000	-	160000	:	6
160000	-	170000	:	4
170000	-	180000	:	2
180000	-	190000	:	3
190000	-	200000	:	4
220000	-	230000	:	1
230000	-	240000	:	1
240000	-	250000	:	2
280000	-	290000	:	2
340000	-	350000	:	1
