brand,# of data,mean,sd,median,min,max,q1,q3
COS,5,169800.00,59347.79,150000.0,89000.0,250000.0,135000.0,225000.0
Jeep,91,103101.98,31518.68,101720.0,22870.0,156920.0,85950.0,117490.0
MLB,73,88515.07,24595.84,87200.0,39200.0,127200.0,71200.0,111200.0
SEOK 세옥,12,178800.00,28144.09,166500.0,143100.0,215100.0,160650.0,205650.0
TDN,74,156551.35,48464.65,160200.0,70200.0,268200.0,115200.0,178200.0
게스 진,8,56691.25,6505.55,57680.0,45000.0,68340.0,52320.0,59497.5
게이즈샵,11,208765.45,22235.27,209620.0,148520.0,234060.0,201160.0,223720.0
내셔널지오그래픽,129,160925.89,49269.36,161100.0,67550.0,242100.0,132760.0,199000.0
노스페이스,58,65567.24,28511.83,62300.0,29600.0,149000.0,41600.0,86100.0
뉴에라,23,120941.74,32140.07,127040.0,50310.0,147950.0,106620.0,147950.0
다니엘 풀,5,162450.00,32478.33,174800.0,97850.0,182400.0,174800.0,182400.0
닥스 ACC,26,333546.92,103124.59,405290.0,161310.0,473060.0,222950.0,405290.0
덱케,16,292425.00,92443.25,276140.0,204110.0,500250.0,204110.0,342672.5
도스문도스,8,130500.00,0.00,130500.0,130500.0,130500.0,130500.0,130500.0
듀퐁ACC,20,2029288.50,906556.91,1436085.0,1038870.0,3483270.0,1270215.0,2610270.0
디스커버리,41,105416.34,50266.77,79500.0,44550.0,215100.0,62550.0,149000.0
디젤,12,190272.50,64196.26,177310.0,136680.0,391510.0,166260.0,187680.0
디키즈,12,46227.50,19303.74,51030.0,25230.0,77430.0,25230.0,60097.5
라코스테 ACC,76,142675.13,48995.67,128240.0,94640.0,279440.0,100240.0,159860.0
루이까또즈 핸드백,22,283003.64,36700.27,281810.0,218250.0,349350.0,273425.0,294377.5
르까프,12,32228.33,7901.24,36000.0,21670.0,40500.0,23230.0,39600.0
리뽀,11,89351.82,15477.16,90920.0,61860.0,112230.0,76605.0,101010.0
만다리나덕,125,363648.40,92949.58,370540.0,60590.0,553900.0,333400.0,403960.0
맥포스,26,228365.38,47971.98,235600.0,144400.0,294500.0,188575.0,264100.0
맥포스 블랙라벨,6,184458.33,104461.73,201400.0,49400.0,329650.0,85737.5,258637.5
몽블랑,28,1068214.29,335006.00,1045450.0,580000.0,2000000.0,798150.0,1207500.0
버커루,99,68233.94,21253.13,72690.0,15770.0,131970.0,63935.0,79415.0
브로이어블루,15,325510.00,136254.36,219880.0,153050.0,542800.0,205590.0,459080.0
브루노말리,25,251277.60,44445.63,254720.0,160000.0,318720.0,229120.0,280320.0
블레스드뷸렛-1...,6,103200.00,28695.12,92700.0,76500.0,149400.0,77175.0,125100.0
빈폴ACCESS...,49,182528.98,71577.19,162540.0,68360.0,332640.0,128160.0,250200.0
스닉솔,31,71715.48,18816.94,81090.0,18610.0,90090.0,66210.0,81090.0
스위브,18,71541.11,27701.41,64450.0,42330.0,121720.0,48310.0,82152.5
스코노,6,70806.67,3893.80,73560.0,65300.0,73560.0,67365.0,73560.0
스파이더,5,531050.00,76000.00,569050.0,379050.0,569050.0,569050.0,569050.0
스펠로,16,149644.38,108223.87,127950.0,78360.0,429950.0,85300.0,137870.0
쌤소나이트,179,316201.56,64274.00,316730.0,42750.0,468540.0,291600.0,355415.0
쌤소나이트레드,159,173412.77,46293.82,170240.0,92150.0,283100.0,132050.0,201460.0
앤듀,7,64147.14,31994.52,81340.0,15770.0,98770.0,36520.0,90055.0
에트로,5,681800.00,198131.34,651460.0,472980.0,968260.0,472980.0,843320.0
엔비에이,61,107129.51,36122.46,116100.0,35100.0,189000.0,79200.0,129000.0
엘레강스,23,129513.91,26392.59,139680.0,81000.0,162830.0,106620.0,153735.0
엘르 가방,17,202565.88,58836.26,215760.0,85270.0,346260.0,170540.0,224460.0
엠아이에스,28,186335.71,32011.03,207100.0,131100.0,216600.0,170050.0,216600.0
이스트팩,379,111345.83,44656.95,98100.0,26100.0,373230.0,86130.0,129630.0
인바이트엘 [문...,14,178561.43,78205.84,211575.0,23070.0,246450.0,180187.5,223200.0
잔스포츠,10,66136.00,15194.06,69145.0,36460.0,81090.0,63855.0,79207.5
제이에스티나 핸드백,17,337138.82,86085.37,340000.0,178000.0,458000.0,259260.0,418000.0
질바이질스튜어트,10,207083.00,49003.23,199760.0,120590.0,285360.0,176922.5,231335.0
질스튜어트 ACC,16,232015.62,68693.79,211030.0,141750.0,355070.0,166490.0,284510.0
캉골,470,150711.74,30385.51,158600.0,23400.0,205200.0,149690.0,160200.0
캘빈클라인 핸드백,260,118374.08,51972.24,110080.0,53130.0,412420.0,80622.5,135320.0
캘빈클라인진,6,89513.33,23284.28,77515.0,65830.0,130340.0,74320.0,103847.5
코치,25,563908.40,161371.41,607430.0,288840.0,800800.0,460460.0,688420.0
키플링,154,112884.29,41765.59,117490.0,33350.0,219210.0,78070.0,137120.0
타미진,17,92614.71,15556.50,91350.0,53550.0,125000.0,85050.0,91350.0
타미힐피거 남성,6,155190.00,25097.02,160200.0,112140.0,196200.0,146700.0,160200.0
탠디,6,336535.00,68047.46,365360.0,215010.0,409760.0,299337.5,381132.5
탠디 남성,9,311327.78,45844.99,302880.0,221860.0,378600.0,296650.0,347440.0
투미,76,637778.68,295758.11,556800.0,261870.0,1809600.0,461100.0,783000.0
패스클립,46,170677.17,49348.64,192600.0,60750.0,224100.0,152100.0,214200.0
폴스미스,5,747080.00,187484.47,845500.0,372400.0,845500.0,826500.0,845500.0
프로스펙스,11,78200.00,15960.85,75240.0,59850.0,122550.0,69350.0,81830.0
하트만,16,627356.25,121483.92,617500.0,422750.0,857850.0,589950.0,669750.0
햇츠온,21,63164.29,12971.56,60300.0,42630.0,86130.0,51330.0,78570.0
헤지스 핸드백,35,175870.00,67746.95,162810.0,53440.0,335130.0,122840.0,227940.0
