brand,# of data,mean,sd,median,min,max,q1,q3
CK언더웨어,1366,47382.38,17087.32,45300.0,16920.0,185580.0,38370.0,50900.0
CK언더웨어블랙,6,45680.00,13308.44,46985.0,27410.0,58730.0,35240.0,58730.0
COS,12,18333.33,5803.50,16250.0,12500.0,25000.0,12500.0,25000.0
게스언더웨어,454,22921.59,13012.34,19190.0,10970.0,90830.0,15230.0,23490.0
네파,9,33707.78,8597.28,32590.0,19000.0,49000.0,31000.0,39150.0
닥스 셔츠,27,32791.11,3519.96,34270.0,27280.0,42490.0,30690.0,34920.0
디스커버리,8,50818.75,34493.91,45000.0,17550.0,139000.0,35000.0,45000.0
라수아컬렉션,33,14135.15,3687.25,12790.0,9000.0,32890.0,12790.0,14010.0
리바이스언더웨어,69,19419.86,2863.19,18000.0,13500.0,25200.0,18000.0,22050.0
바바라,256,44844.30,15293.48,44020.0,18270.0,137460.0,35330.0,54810.0
보디가드,443,13452.03,7573.18,12180.0,5220.0,68910.0,7830.0,17230.0
브로이어블루,10,33620.00,3666.06,31220.0,31220.0,39220.0,31220.0,37220.0
블랙야크,16,17551.88,6918.49,16740.0,4750.0,30400.0,14442.5,21600.0
비너스 란제리,2168,27598.21,11751.84,25060.0,9570.0,105310.0,19580.0,29760.0
비비안 란제리,1163,57962.24,104559.11,25840.0,8700.0,736020.0,18800.0,39150.0
세컨스킨,25,17059.60,5799.95,16150.0,4250.0,41650.0,16150.0,16150.0
섹시쿠키,376,18604.26,9003.85,16530.0,6090.0,59510.0,14790.0,17425.0
아이더,19,20157.89,6714.19,20000.0,9000.0,30000.0,19000.0,24000.0
엘르언더웨어,468,17263.87,6380.68,16450.0,7830.0,54810.0,13935.0,19580.0
엠포리오아르마니...,352,40644.77,13648.70,36990.0,21750.0,121800.0,30450.0,47850.0
예스,189,13320.90,5730.57,13050.0,4950.0,64990.0,10080.0,15300.0
와코루,1040,48381.25,26320.89,40890.0,19140.0,332520.0,33930.0,50947.5
케이투,5,36200.00,6337.19,38000.0,25000.0,42000.0,34000.0,42000.0
코데즈컴바인이너웨어,415,14217.59,6165.41,13840.0,6090.0,69540.0,10440.0,17545.0
코오롱스포츠,21,40985.71,8120.96,38000.0,30400.0,64600.0,36100.0,42750.0
크레이지본,7,17071.43,3440.98,19140.0,9900.0,19140.0,16520.0,19140.0
타미진,19,25332.63,2909.22,23940.0,22050.0,31500.0,23940.0,26460.0
투언더,7,52285.71,4948.72,48000.0,48000.0,58000.0,48000.0,58000.0
트라이엄프,786,17832.94,7855.11,17060.0,5490.0,68520.0,14010.0,19580.0
휠라언더웨어,145,22912.00,12794.51,21150.0,6270.0,61860.0,11580.0,25060.0
휠라인티모,68,20115.44,5511.92,22620.0,7200.0,32110.0,19140.0,23490.0
