brand,# of data,mean,sd,median,min,max,q1,q3
다니엘에스떼 넥타이,674,58879.05,27619.66,60030.0,13050.0,170520.0,30450.0,80040.0
닥스 넥타이,3556,86304.07,23858.31,100050.0,41070.0,168780.0,60030.0,100050.0
닥스 셔츠,17,73761.76,6303.95,70440.0,68180.0,86450.0,70440.0,76920.0
듀퐁 넥타이,2123,83086.90,30702.54,89790.0,13050.0,321030.0,54990.0,112230.0
듀퐁ACC,15,399022.00,46754.35,383250.0,365790.0,567450.0,383250.0,400710.0
듀퐁셔츠,228,84058.51,18600.49,82610.0,50600.0,118680.0,63240.0,103260.0
레노마 넥타이,1373,55619.32,31697.29,50030.0,17400.0,243600.0,26100.0,80040.0
레노마 와이셔츠,31,50803.55,26952.20,46030.0,24020.0,114630.0,24840.0,73640.0
루이까또즈 넥타이,6216,54921.13,31309.68,33930.0,30450.0,225330.0,30450.0,80040.0
마인드브릿지,23,33180.87,3466.83,33920.0,16920.0,33920.0,33920.0,33920.0
본,12,37280.83,18505.33,40400.0,4350.0,62440.0,28715.0,54430.0
브로이어블루,40,66650.00,5536.78,63240.0,63240.0,75640.0,63240.0,75640.0
브룩스브라더스,26,92821.15,24903.84,79050.0,63240.0,147870.0,79050.0,119970.0
비비안웨스트우드,15,155593.33,23635.97,161000.0,105300.0,186300.0,145800.0,161000.0
빈폴맨,10,47180.00,1960.00,47180.0,45220.0,49140.0,45220.0,49140.0
에잇세컨즈,6,13260.00,3575.36,13840.0,8620.0,17320.0,9925.0,16450.0
에트로,11,152378.18,16798.12,139680.0,139680.0,174600.0,139680.0,174600.0
예작,50,68120.20,7774.31,62760.0,54920.0,94450.0,62760.0,75560.0
웅가로,247,66778.62,28512.99,54000.0,29580.0,172260.0,46980.0,84050.0
지오지아,5,16530.00,0.00,16530.0,16530.0,16530.0,16530.0,16530.0
질바이질스튜어트,212,58488.63,12472.57,61250.0,29850.0,85260.0,53600.0,61250.0
카운테스마라,1569,53916.32,25261.55,51330.0,16530.0,160950.0,30540.0,69640.0
커스텀멜로우,31,35597.10,3522.96,36020.0,30280.0,46430.0,36020.0,36020.0
크리스찬라크르와,6,22330.00,5978.50,19575.0,16530.0,30450.0,17400.0,28275.0
킨록바이킨록앤더슨,24,47230.00,0.00,47230.0,47230.0,47230.0,47230.0,47230.0
폴스미스,40,191187.50,23672.69,209000.0,152000.0,218500.0,175750.0,209000.0
피에르가르뎅 셔츠,134,29649.18,7419.03,25230.0,21750.0,50430.0,24020.0,34420.0
