brand,# of data,mean,sd,median,min,max,q1,q3
갤럭시,12,149844.17,39522.16,165005.0,76900.0,192560.0,132020.0,177100.0
갤럭시라이프스타일,17,112521.76,17615.38,114460.0,101660.0,178490.0,102400.0,114460.0
까르뜨블랑슈,20,86929.50,27181.50,71240.0,55230.0,144560.0,69240.0,97252.5
마에스트로정장,37,168791.08,45943.54,190700.0,86370.0,248660.0,138530.0,190700.0
바버,31,150770.32,37588.60,144000.0,81000.0,237600.0,126000.0,171000.0
바쏘,15,69524.67,33626.63,63240.0,33930.0,156880.0,44580.0,88770.0
비비안웨스트우드,5,438520.00,28559.16,441000.0,406000.0,469800.0,406000.0,469800.0
빈폴맨,275,117628.87,32228.15,112140.0,76860.0,250740.0,97380.0,124740.0
빨질레리정장,19,137542.11,16399.15,127430.0,114630.0,165850.0,127430.0,140240.0
올젠,36,73375.28,28283.39,71730.0,33930.0,158480.0,51870.0,81970.0
지오지아,28,62372.14,14715.17,61400.0,41990.0,106570.0,57140.0,62930.0
질바이질스튜어트,53,138843.58,43614.67,163560.0,42630.0,224460.0,102320.0,172260.0
카운테스마라,5,106944.00,6275.59,101820.0,101820.0,114630.0,101820.0,114630.0
타미힐피거 남성,39,131515.38,24075.65,124740.0,85320.0,214200.0,124740.0,142200.0
폴로랄프로렌,154,161100.00,47699.77,149000.0,83300.0,299000.0,129000.0,189000.0
폴스미스,10,341145.00,78831.05,332025.0,219450.0,446500.0,285950.0,408500.0
프랑코페라로,128,106202.34,36165.16,101820.0,21530.0,199300.0,79240.0,127270.0
BOB,8,183375.00,7261.84,189000.0,174000.0,189000.0,174000.0,189000.0
COS,47,139223.40,57004.09,115000.0,73500.0,325000.0,105000.0,142500.0
나우NAU,38,110093.95,57902.37,104060.0,13050.0,242730.0,64040.0,143010.0
디스커버리,176,88159.15,42677.53,69000.0,45000.0,219000.0,59000.0,99000.0
라코스테 오리지널,10,175560.00,16875.81,171570.0,158270.0,198170.0,158270.0,194845.0
레노마 캐주얼,5,40874.00,3586.60,43230.0,36540.0,44830.0,36540.0,43230.0
리얼지오지아[RZ],20,52367.50,15084.95,47230.0,25230.0,83800.0,47062.5,63240.0
머레이알란,31,123047.10,54465.16,86130.0,64380.0,218030.0,81780.0,186180.0
본,31,63545.48,41707.74,40020.0,17400.0,158810.0,33060.0,96055.0
브룩스브라더스,21,93235.71,32601.59,88540.0,63240.0,157170.0,63240.0,125550.0
시리즈,18,127181.11,42697.53,119400.0,71600.0,215400.0,95600.0,165120.0
씨리얼바이크리스,30,52991.00,26895.89,43070.0,25840.0,165290.0,42290.0,61637.5
에디션 앤드지,84,64863.93,21302.93,63640.0,33930.0,119750.0,46630.0,76967.5
에어로그래퍼 베인,12,63650.00,8576.35,65550.0,42750.0,75050.0,64362.5,65550.0
인터메조,5,53632.00,9333.30,47230.0,47230.0,71240.0,47230.0,55230.0
제스,6,48895.00,22431.83,38280.0,23670.0,81780.0,33930.0,68730.0
지이크,20,62585.50,20146.39,47230.0,42630.0,101820.0,47230.0,76210.0
커스텀멜로우,13,136703.08,20759.13,146280.0,100730.0,164680.0,117650.0,151510.0
클럽캠브리지,10,88866.00,26070.69,84660.0,60030.0,138330.0,70257.5,85762.5
킨록바이킨록앤더슨,59,47885.25,15019.14,47230.0,26100.0,127270.0,39150.0,58160.0
티아이포맨,26,72850.77,13995.46,71085.0,41400.0,102460.0,62440.0,78440.0
프레드페리,100,163436.10,38013.46,154945.0,118370.0,311600.0,141645.0,178315.0
헤지스 남성,20,123709.50,27236.55,116820.0,84070.0,156650.0,96170.0,156650.0
