brand,# of data,mean,sd,median,min,max,q1,q3
Jeep,40,41609.50,7126.54,38640.0,24850.0,54410.0,35490.0,46530.0
MLB,213,32138.97,6471.57,31200.0,23200.0,63200.0,28800.0,34400.0
갤럭시라이프스타일,13,72927.69,20310.34,63480.0,55230.0,109480.0,55230.0,95250.0
닥스 모자,100,83843.60,45899.13,69600.0,32890.0,208800.0,52200.0,96570.0
레노마 모자,8,104182.50,24900.66,107010.0,73950.0,128760.0,82432.5,128760.0
버커루,5,31568.00,7970.65,30760.0,22870.0,40670.0,22870.0,40670.0
빈폴맨,40,38241.25,8089.76,43200.0,20700.0,56810.0,30240.0,43200.0
시리즈,6,62550.00,7113.54,65550.0,53100.0,69000.0,55350.0,69000.0
아가타 모자,18,56250.56,26492.80,49590.0,21750.0,130500.0,43500.0,73080.0
에어로그래퍼 베인,8,34200.00,0.00,34200.0,34200.0,34200.0,34200.0,34200.0
엔비에이,100,35931.40,13738.58,34300.0,9000.0,79200.0,28350.0,46400.0
커스텀멜로우,6,41096.67,4730.94,40720.0,35500.0,47070.0,36805.0,45482.5
타미진,13,33470.77,5580.17,37800.0,23940.0,37800.0,26460.0,37800.0
타미힐피거 남성,8,42367.50,4033.91,43200.0,37800.0,49140.0,37800.0,44100.0
햇츠온,19,35602.11,3961.55,33930.0,28020.0,42630.0,33930.0,37410.0
