brand,# of data,mean,sd,median,min,max,q1,q3
갤럭시라이프스타일,12,89250.00,9398.80,89520.0,79240.0,102400.0,79240.0,99420.0
게스 진,17,37622.35,4664.11,38180.0,29520.0,45190.0,32720.0,42540.0
금강제화,12,96790.83,32049.60,98500.0,51300.0,190160.0,89997.5,98500.0
다니엘에스떼 넥타이,19,38325.79,1903.43,39150.0,33930.0,39150.0,39150.0,39150.0
닥스 ACC,60,100116.17,20526.21,96760.0,67310.0,229970.0,93530.0,107090.0
닥스 넥타이,99,52971.21,4752.93,51330.0,42630.0,68730.0,51330.0,54990.0
닥스 셔츠,106,115339.34,15757.74,112145.0,77330.0,138100.0,108560.0,126470.0
듀퐁 넥타이,79,76284.68,11599.95,86130.0,51330.0,86130.0,68910.0,86130.0
듀퐁ACC,66,327660.00,151885.21,361425.0,130950.0,785700.0,197670.0,374520.0
라코스테 ACC,16,80725.00,15198.30,83200.0,49840.0,95200.0,66640.0,95200.0
레노마 와이셔츠,127,59803.39,20263.96,45540.0,28020.0,119260.0,44030.0,71010.0
루이까또즈 넥타이,41,78491.95,35143.23,84050.0,30450.0,137460.0,46980.0,120060.0
루이까또즈 핸드백,34,88829.41,19194.99,98800.0,55910.0,109530.0,74210.0,102370.0
리바이스,17,43317.06,17719.56,40670.0,16190.0,74700.0,28470.0,57270.0
마인드브릿지,29,39195.86,4124.33,42420.0,33920.0,42420.0,33920.0,42420.0
몽블랑,31,310500.00,31487.14,306900.0,260400.0,372000.0,288300.0,339450.0
몽삭,6,68010.00,5237.90,68910.0,61950.0,77430.0,63690.0,68910.0
버커루,169,46915.15,9788.61,48970.0,14990.0,57270.0,46530.0,51550.0
브로이어블루,78,108055.51,24815.36,101820.0,57000.0,151280.0,101820.0,125710.0
브루노말리,26,76633.85,17424.21,71680.0,54880.0,156800.0,71680.0,80760.0
빈폴ACCESS...,37,95662.16,16534.57,101700.0,54240.0,115200.0,92700.0,106200.0
빈폴맨,40,92200.50,3778.01,89430.0,89430.0,97710.0,89430.0,97200.0
시리즈,35,88534.29,11590.73,89000.0,69000.0,109000.0,79000.0,98550.0
앤듀,12,33061.67,5312.79,32370.0,24070.0,40670.0,32370.0,34445.0
에스라아서,15,116913.33,58807.45,127300.0,58900.0,301150.0,75050.0,127300.0
에잇세컨즈,11,12890.91,3508.64,13840.0,8620.0,17320.0,8620.0,15580.0
엘레강스,35,46350.29,13480.83,48770.0,22500.0,95050.0,40500.0,50450.0
예작,18,71765.56,45222.23,36020.0,17400.0,131660.0,36020.0,127270.0
웅가로,145,59304.69,23304.80,46980.0,35000.0,137460.0,46980.0,68730.0
질바이질스튜어트,104,63316.25,16472.78,61250.0,29850.0,102660.0,59690.0,75170.0
질스튜어트 ACC,7,56825.71,10353.32,55850.0,43820.0,70160.0,47470.0,66505.0
카운테스마라,281,53634.23,29267.37,42630.0,26100.0,138330.0,33930.0,68730.0
캘빈클라인 핸드백,67,69098.96,12976.77,65790.0,46330.0,101150.0,59955.0,77985.0
킨록바이킨록앤더슨,5,71240.00,0.00,71240.0,71240.0,71240.0,71240.0,71240.0
타미진,25,55422.00,12973.54,58500.0,31500.0,85500.0,40950.0,67500.0
타미힐피거 남성,10,42750.00,2062.16,44100.0,39600.0,44100.0,40725.0,44100.0
탠디 남성,62,87984.84,30382.08,79150.0,55470.0,215010.0,73540.0,91930.0
폴스미스,21,192261.90,40655.94,205200.0,38000.0,256500.0,174800.0,218500.0
폴햄,20,20670.00,5567.81,24820.0,8220.0,24820.0,16520.0,24820.0
프랑코페라로,21,74669.52,10925.65,79240.0,47230.0,95250.0,71240.0,79240.0
헤지스 핸드백,9,65910.00,3364.91,68160.0,58900.0,68160.0,63480.0,68160.0
