brand,# of data,mean,sd,median,min,max,q1,q3
BOB,10,154080.00,38782.43,173440.0,57600.0,183680.0,133200.0,183680.0
CK남성,27,119479.26,39168.34,117990.0,75240.0,191100.0,83790.0,152190.0
COS,75,86624.00,29676.82,99000.0,20300.0,135000.0,71250.0,105000.0
DKNY남성,24,192074.17,42577.17,191520.0,118370.0,291270.0,158270.0,211470.0
LAP,7,38957.14,4453.84,35100.0,35100.0,44100.0,35100.0,44100.0
MLB,8,26563.75,5029.60,30390.0,18000.0,30390.0,21280.0,30390.0
TNGT,59,51088.14,12601.13,50790.0,28710.0,73700.0,43430.0,61785.0
갤럭시라이프스타일,31,82387.42,21001.95,77640.0,47480.0,122470.0,61440.0,100050.0
굿온,31,85806.45,32455.01,72200.0,60800.0,187150.0,60800.0,88350.0
까르뜨블랑슈,375,64077.15,18812.36,63240.0,16530.0,126790.0,48860.0,77330.0
나우NAU,125,50728.56,31331.30,41420.0,13050.0,190530.0,28280.0,60470.0
노스페이스,15,50753.33,13011.48,55300.0,31000.0,75600.0,38000.0,63200.0
뉴에라,102,48328.53,9788.08,41780.0,39220.0,84410.0,41780.0,51330.0
듀퐁셔츠,17,119107.06,55949.62,108220.0,47230.0,204270.0,57000.0,185060.0
디스커버리,223,82185.02,39159.32,69000.0,29700.0,219000.0,59000.0,99000.0
디젤,135,98258.74,47459.69,91800.0,46410.0,304300.0,64260.0,117300.0
라코스테 오리지널,119,100626.72,24330.01,105070.0,48550.0,169100.0,91770.0,113050.0
레노마 와이셔츠,111,35172.16,4877.61,34800.0,24020.0,52030.0,32020.0,39150.0
레노마 캐주얼,48,29840.62,8755.13,33930.0,16530.0,43230.0,22620.0,36540.0
레스이즈모어,27,81283.33,21036.94,82830.0,48030.0,124590.0,68910.0,96750.0
리얼지오지아[RZ],126,26325.71,9048.15,25230.0,13050.0,47230.0,16747.5,33930.0
마인드브릿지,42,42762.14,17558.09,42420.0,8100.0,126650.0,33920.0,50920.0
만다리나덕,19,104623.16,31961.28,114050.0,54890.0,174820.0,79830.0,122200.0
머레이알란,8,175400.00,24737.70,166265.0,151040.0,230210.0,161697.5,176922.5
바버,236,108011.82,38143.45,97200.0,59400.0,252000.0,70560.0,129600.0
본,94,35781.91,21788.87,26100.0,8700.0,94770.0,19575.0,45630.0
브로이어블루,10,40573.00,9401.44,39225.0,31220.0,50600.0,31220.0,50600.0
브룩스브라더스,254,87104.41,33554.34,79050.0,36270.0,250170.0,63240.0,109252.5
빈폴맨,2166,81147.52,20057.02,85790.0,25020.0,149550.0,68040.0,91590.0
슈퍼콤마비,25,60580.00,14012.32,56050.0,33820.0,94530.0,56050.0,65550.0
스카티스캘리,51,57158.82,18290.05,53100.0,26100.0,89100.0,44100.0,75600.0
시리즈,108,72621.67,21766.86,65580.0,37260.0,179400.0,59000.0,83400.0
씨리얼바이크리스,147,32427.69,17173.81,30020.0,4350.0,122870.0,18245.0,42085.0
씨피컴퍼니,28,131764.29,68071.22,134100.0,62100.0,355500.0,85500.0,134100.0
애드혹,100,29721.70,11581.92,27780.0,8620.0,60030.0,25230.0,34740.0
에디션 앤드지,470,45590.72,16364.68,43070.0,16530.0,95250.0,33930.0,55630.0
에트로,34,244181.47,52007.60,243630.0,162420.0,393550.0,203025.0,281110.0
에피그램,11,124250.00,46831.04,119000.0,29030.0,179000.0,99000.0,169000.0
예작,9,24020.00,0.00,24020.0,24020.0,24020.0,24020.0,24020.0
올젠,284,46379.96,14228.54,43230.0,17400.0,102460.0,36540.0,51230.0
인터메조,39,53141.79,13157.95,55230.0,33930.0,79240.0,47230.0,55230.0
제스,14,33261.43,14631.70,27150.0,20190.0,64380.0,25230.0,32407.5
지오지아,196,36777.60,12542.32,35100.0,14790.0,82370.0,25230.0,41990.0
지이크,34,40328.53,15664.47,39825.0,16530.0,63240.0,27000.0,55630.0
질바이질스튜어트,104,80844.90,54311.60,90140.0,25930.0,542880.0,55680.0,103010.0
챔피온,13,113448.46,28055.04,99540.0,66600.0,142200.0,97650.0,142200.0
카운테스마라,22,69495.45,21469.09,63240.0,40020.0,105660.0,50030.0,71240.0
캉골,138,52951.96,12357.20,51680.0,30240.0,88200.0,43200.0,55800.0
커스텀멜로우,22,65449.09,25015.41,55230.0,47230.0,134580.0,49940.0,66870.0
코에보,41,80173.17,54980.78,68730.0,35100.0,343650.0,53100.0,80100.0
클럽캠브리지,30,57301.33,17281.23,60470.0,21750.0,109020.0,48720.0,68730.0
킨록바이킨록앤더슨,170,53084.59,16926.15,47230.0,23200.0,100300.0,42630.0,63240.0
타미힐피거 남성,531,75804.41,21177.26,74520.0,36720.0,124740.0,61740.0,93240.0
탑텐,88,14206.70,7560.26,8620.0,4350.0,34720.0,8620.0,17320.0
테이트,14,22900.00,7488.18,23590.0,11800.0,38570.0,16685.0,27625.0
트루젠,27,31203.70,7664.41,33930.0,8620.0,39680.0,33930.0,34460.0
티아이포맨,109,53470.46,11200.60,49320.0,30800.0,77330.0,46430.0,60520.0
폴로랄프로렌,21,88723.81,18094.41,89000.0,62300.0,129000.0,69300.0,99000.0
프랑코페라로,366,63249.32,20376.51,63240.0,21530.0,143280.0,47230.0,77890.0
프레드페리,353,101763.17,29039.09,105070.0,45220.0,264670.0,85120.0,112100.0
헤지스 남성,293,84313.82,21615.69,90120.0,43470.0,146020.0,78030.0,96170.0
헤지스종합관,67,69489.85,17415.59,71980.0,43470.0,102220.0,50810.0,84070.0
흄,14,28970.00,7522.51,24820.0,16520.0,41420.0,24820.0,33120.0
