brand,# of data,mean,sd,median,min,max,q1,q3
갤럭시,50,110755.60,22081.87,113390.0,76900.0,158240.0,86940.0,128800.0
갤럭시라이프스타일,141,84755.46,21563.26,88850.0,47230.0,141040.0,66440.0,100050.0
닥스 셔츠,2086,103142.86,36973.96,107580.0,36020.0,271590.0,76920.0,134470.0
듀퐁셔츠,2966,82997.43,40989.76,71240.0,13050.0,271340.0,55230.0,114630.0
레노마 와이셔츠,2229,47812.64,29938.09,32020.0,22080.0,158810.0,24020.0,63240.0
레노마 캐주얼,7,33557.14,3380.94,33930.0,26970.0,38280.0,32625.0,35235.0
루이까또즈 셔츠,1634,58333.89,31482.57,63240.0,28000.0,166490.0,28020.0,63400.0
리본,28,117842.14,51620.41,104400.0,34800.0,234900.0,78082.5,147900.0
마에스트로정장,14,125676.43,21313.48,118580.0,105330.0,151700.0,105330.0,151700.0
바버,53,134480.38,45251.97,134640.0,47520.0,266400.0,108000.0,162000.0
바쏘,48,57441.25,18382.02,54030.0,25230.0,97500.0,47230.0,69480.0
본,8,67230.00,30168.19,64840.0,26100.0,119260.0,48210.0,87930.0
브로이어블루,750,77377.57,45080.87,50600.0,24020.0,256680.0,47230.0,114630.0
블랭크5스페이스,100,58955.30,29154.07,60030.0,21750.0,108750.0,34800.0,90480.0
비비안웨스트우드,61,326045.90,127615.02,336000.0,120000.0,686000.0,231000.0,429300.0
빨질레리정장,19,78422.11,22190.80,76210.0,41070.0,127430.0,63400.0,88530.0
시리즈,8,96375.00,21868.57,109000.0,58000.0,109000.0,96500.0,109000.0
씨리얼바이크리스,12,29227.50,6853.78,27845.0,20830.0,43070.0,23387.5,34370.0
에디션 앤드지,37,44959.19,4922.77,42630.0,33930.0,57000.0,42630.0,47550.0
엘르셔츠,95,28325.37,8500.56,25230.0,13050.0,51330.0,21750.0,35235.0
예작,1610,37452.30,22743.08,24020.0,17400.0,150720.0,24020.0,44030.0
올젠,5,37800.00,0.00,37800.0,37800.0,37800.0,37800.0,37800.0
웰메이드스토리 ...,56,37276.61,6012.49,39150.0,25230.0,47230.0,33930.0,42630.0
지오지아,27,38847.78,6255.76,40590.0,26100.0,48690.0,33930.0,42120.0
질바이질스튜어트,1401,71057.80,36317.38,64380.0,21750.0,163560.0,39150.0,96230.0
챔피온,15,121806.00,17255.10,130500.0,80640.0,142200.0,115200.0,130500.0
카운테스마라,1094,60453.79,29349.78,47230.0,24020.0,192100.0,39220.0,88850.0
커스텀멜로우,5,77028.00,8293.97,83800.0,66870.0,83800.0,66870.0,83800.0
티아이포맨,16,47690.00,7635.74,48045.0,33930.0,56680.0,42592.5,55500.0
폴로랄프로렌,36,138927.78,26755.39,140650.0,97300.0,199000.0,118300.0,159000.0
폴스미스,86,223238.95,114782.95,194750.0,86450.0,503500.0,123500.0,313500.0
프랑코페라로,72,73303.19,20772.65,72280.0,33930.0,146640.0,63240.0,82610.0
프레드페리,7,97240.00,14676.02,98420.0,63180.0,112100.0,98420.0,105070.0
피에르가르뎅 셔츠,277,37423.94,16446.09,32020.0,21750.0,126470.0,28020.0,40020.0
