brand,# of data,mean,sd,median,min,max,q1,q3
ZEN,32,89642.19,45753.57,88200.0,13500.0,178200.0,44375.0,124200.0
갤럭시,52,570603.85,316842.11,508300.0,266620.0,1883700.0,360180.0,655040.0
갤럭시라이프스타일,117,230854.44,96819.49,205440.0,143280.0,895160.0,183080.0,251350.0
닥터퍼니스트,24,102043.75,43280.85,90915.0,33930.0,287100.0,86130.0,105705.0
디스커버리,189,170516.88,71298.60,153300.0,55000.0,410550.0,125300.0,199000.0
레노마 캐주얼,47,102861.91,18795.43,99250.0,63240.0,142680.0,88850.0,119665.0
마에스트로정장,119,468059.41,174278.35,460370.0,261650.0,1327290.0,354720.0,526610.0
바버,776,349771.02,156369.62,360000.0,23400.0,810000.0,216000.0,468000.0
바쏘,97,225518.76,113234.20,224120.0,60030.0,980490.0,152080.0,272140.0
본,84,121025.60,68104.59,97650.0,34800.0,449830.0,72040.0,159280.0
브룩스브라더스,61,382257.54,173731.98,384090.0,100440.0,790500.0,253890.0,514290.0
빨질레리정장,38,365190.79,136265.42,319530.0,223320.0,767750.0,255500.0,383560.0
씨리얼바이크리스,33,112406.36,57995.40,105180.0,26100.0,319760.0,79640.0,129190.0
애드혹,8,117060.00,23252.40,107970.0,89790.0,155730.0,103530.0,123105.0
에트로,12,1051908.33,164574.66,1005740.0,862060.0,1374300.0,902667.5,1149420.0
올젠,78,148478.72,53515.11,145750.0,31200.0,248080.0,111260.0,187740.0
웰메이드스토리 ...,37,115197.03,106811.37,88050.0,63240.0,472240.0,72040.0,96050.0
지오지아,100,170099.40,90790.35,158635.0,79240.0,537130.0,118735.0,171160.0
캠브리지,11,178402.73,36584.03,160080.0,152000.0,284950.0,158480.0,180095.0
킨록바이킨록앤더슨,114,159254.82,94022.50,152080.0,39200.0,719560.0,103260.0,189700.0
타미힐피거 남성,79,249500.51,61804.25,244440.0,42840.0,432000.0,200340.0,286200.0
티아이포맨,49,140750.41,73707.83,126470.0,64040.0,422620.0,106820.0,143120.0
프랑코페라로,255,186783.65,69985.21,189940.0,47230.0,632320.0,143280.0,234770.0
BOB,22,596109.09,151091.24,604100.0,315000.0,838000.0,462350.0,715500.0
CK남성,5,398004.00,54351.89,416820.0,333450.0,453150.0,333450.0,453150.0
COS,22,182159.09,79678.10,162750.0,73500.0,390000.0,150000.0,186250.0
DKNY남성,7,418000.00,28971.11,432250.0,385700.0,452200.0,385700.0,442225.0
K-WAY,16,160561.88,56813.82,141945.0,68910.0,259260.0,134030.0,192300.0
TNGT,15,182288.67,19167.43,175910.0,146470.0,220070.0,175910.0,197990.0
까르뜨블랑슈,273,156416.04,73603.73,159280.0,26100.0,420210.0,95250.0,210030.0
나우NAU,109,154956.88,105132.78,121200.0,48380.0,573330.0,74820.0,195750.0
노스페이스,7,131550.00,8940.64,135200.0,109650.0,135200.0,135200.0,135200.0
디젤,13,357863.08,119719.27,320110.0,242760.0,644300.0,272510.0,355810.0
라코스테 오리지널,18,253460.00,61631.79,264670.0,151620.0,378100.0,218120.0,283100.0
리얼지오지아[RZ],9,90167.78,19729.54,96050.0,63240.0,127270.0,79240.0,101570.0
맥포스,8,200925.00,55568.91,159600.0,156750.0,272650.0,156750.0,272650.0
빈폴맨,320,203969.22,47139.73,207510.0,42840.0,414540.0,172730.0,230690.0
시리즈,24,243644.58,71050.95,229860.0,139860.0,359600.0,183060.0,319600.0
씨피컴퍼니,35,513090.00,119906.49,495000.0,224100.0,805500.0,465300.0,556200.0
에디션 앤드지,194,173265.41,116086.92,147280.0,63240.0,661080.0,119260.0,183780.0
인터메조,17,148737.06,64293.48,127270.0,79240.0,315360.0,111260.0,198500.0
제스,14,117197.14,54618.08,93090.0,57000.0,254740.0,77430.0,138330.0
지이크,43,149814.19,51542.09,143280.0,63240.0,319530.0,122850.0,153180.0
챔피온,10,129240.00,18161.05,130500.0,97650.0,160200.0,130500.0,139275.0
캉골,5,139530.00,8309.81,133200.0,131870.0,149690.0,133200.0,149690.0
커스텀멜로우,5,194438.00,33457.76,191140.0,143280.0,239720.0,178090.0,219960.0
코에보,13,517848.46,213107.60,508950.0,138330.0,825630.0,394110.0,742110.0
퀵실버,22,119803.64,34053.03,123170.0,54320.0,167540.0,97160.0,152240.0
클럽캠브리지,79,171569.37,69716.55,173130.0,77430.0,513300.0,138330.0,180095.0
테이트,8,95075.00,39521.83,97780.0,32370.0,141150.0,70282.5,129322.5
트루젠,7,81472.86,24366.74,79240.0,48030.0,132870.0,71240.0,83845.0
프레드페리,51,298152.35,371954.93,218120.0,111720.0,2831070.0,159220.0,331170.0
헤지스 남성,22,240656.82,33595.54,237785.0,138510.0,344920.0,227420.0,248150.0
