brand,# of data,mean,sd,median,min,max,q1,q3
갤럭시,14,316112.86,54437.21,315560.0,227980.0,379960.0,266620.0,379960.0
갤럭시라이프스타일,38,206275.00,120361.69,179680.0,115540.0,895160.0,166800.0,224760.0
마에스트로정장,5,642252.00,370705.44,394130.0,305360.0,1094800.0,322170.0,1094800.0
바버,87,352650.00,146760.34,381600.0,79200.0,675000.0,252000.0,468000.0
바쏘,74,338161.62,177846.97,280140.0,63240.0,1008510.0,232120.0,446227.5
본,14,163507.14,67054.48,159280.0,72040.0,347700.0,111857.5,197200.0
빨질레리정장,20,461744.50,205359.37,383560.0,229890.0,1018110.0,341942.5,543645.0
제스,10,130293.00,45020.01,136155.0,68910.0,190530.0,83655.0,168780.0
지오지아,24,200238.75,207240.68,100695.0,55230.0,637560.0,79910.0,143410.0
프랑코페라로,60,201966.83,89587.80,204270.0,42480.0,383560.0,137275.0,255500.0
BOB,7,402000.00,143153.26,349000.0,315000.0,748000.0,332000.0,369000.0
까르뜨블랑슈,19,226621.58,136800.41,159280.0,79240.0,504260.0,119265.0,374755.0
나우NAU,22,366109.55,185302.76,434130.0,68730.0,608130.0,181290.0,521130.0
디스커버리,81,183100.49,69922.93,178500.0,79000.0,410550.0,129000.0,208250.0
레노마 캐주얼,8,103350.00,14688.51,107660.0,79200.0,119260.0,99655.0,111260.0
리얼지오지아[RZ],12,62842.50,37262.19,47230.0,30450.0,168440.0,43035.0,69962.5
빈폴맨,170,209404.88,86013.38,172730.0,59580.0,540540.0,161140.0,232380.0
시리즈,7,244101.43,53216.87,239400.0,179550.0,323640.0,203460.0,279600.0
씨리얼바이크리스,15,73773.33,37649.75,63720.0,26100.0,178740.0,50195.0,82885.0
씨피컴퍼니,8,524712.50,130780.44,500850.0,324000.0,716000.0,428000.0,617000.0
에디션 앤드지,19,259509.47,244704.26,127270.0,79240.0,799600.0,79240.0,379155.0
올젠,29,243199.66,186365.38,144080.0,63240.0,549080.0,103260.0,472240.0
코에보,29,231312.41,68913.44,224100.0,107100.0,407160.0,179100.0,257400.0
킨록바이킨록앤더슨,21,272022.38,160394.98,239320.0,79240.0,559480.0,159280.0,319360.0
티아이포맨,14,183021.43,64131.59,162090.0,95420.0,329550.0,128832.5,234720.0
프레드페리,16,254279.38,102563.42,238070.0,125020.0,464170.0,183207.5,331170.0
헤지스 남성,7,192941.43,37561.65,192940.0,138510.0,229230.0,165725.0,229230.0
