brand,# of data,mean,sd,median,min,max,q1,q3
COS,7,213500.00,85150.71,225000.0,94500.0,325000.0,135000.0,290000.0
TNGT,25,247151.20,57899.64,242150.0,175910.0,440870.0,220070.0,293670.0
레노마 캐주얼,58,130264.31,27732.48,127270.0,33930.0,182500.0,126470.0,149480.0
리얼지오지아[RZ],14,101001.43,14409.29,96050.0,79240.0,126960.0,96050.0,114057.5
바쏘,21,272806.67,98411.21,280140.0,74040.0,437020.0,232120.0,312160.0
본,61,170731.48,71295.75,159280.0,34800.0,376990.0,120060.0,223320.0
빨질레리정장,5,518344.00,117931.48,505860.0,312160.0,633920.0,505860.0,633920.0
씨리얼바이크리스,8,143098.75,59643.48,160325.0,47230.0,223000.0,98895.0,188502.5
에디션 앤드지,11,215492.73,54424.72,194900.0,118460.0,270860.0,176090.0,270860.0
인터메조,16,104658.12,21040.14,103260.0,87250.0,181700.0,95250.0,103260.0
제스,25,122553.20,34098.75,135030.0,77430.0,182700.0,86130.0,138330.0
지오지아,41,193793.66,82261.83,164780.0,72040.0,385830.0,124200.0,214210.0
지이크,40,181715.50,47588.72,162030.0,104060.0,247580.0,159280.0,239320.0
킨록바이킨록앤더슨,124,176163.55,64923.81,174490.0,25230.0,318560.0,120060.0,238520.0
트루젠,12,136470.83,32776.43,135675.0,79240.0,196900.0,119260.0,159280.0
티아이포맨,9,141212.22,34521.97,158480.0,92050.0,180900.0,99360.0,163950.0
