brand,# of data,mean,sd,median,min,max,q1,q3
ZEN,61,99537.70,66433.69,83300.0,12750.0,268200.0,34000.0,151200.0
갤럭시,66,581462.58,195399.63,559820.0,305260.0,1253700.0,441000.0,724680.0
레노마 캐주얼,21,159265.71,49329.78,127270.0,122670.0,254530.0,126470.0,169690.0
마에스트로정장,73,451897.26,112423.98,460790.0,199970.0,659090.0,327890.0,526610.0
바쏘,87,248220.23,93145.66,248130.0,42630.0,487450.0,191345.0,312160.0
본,38,190832.63,109011.16,169140.0,17400.0,510980.0,131272.5,232327.5
빨질레리정장,17,528081.76,163292.41,505860.0,312160.0,761990.0,377790.0,633920.0
웰메이드스토리 ...,7,159281.43,29641.67,159280.0,95250.0,191300.0,159280.0,175290.0
지오지아,40,205348.25,83812.18,197730.0,48030.0,396450.0,157742.5,247452.5
지이크,9,150606.67,39953.43,159280.0,95680.0,239320.0,120000.0,159280.0
킨록바이킨록앤더슨,11,121227.27,38110.32,99250.0,87250.0,199300.0,91650.0,159280.0
