brand,# of data,mean,sd,median,min,max,q1,q3
ZEN,34,33513.24,16045.45,33150.0,12750.0,81000.0,19550.0,41650.0
갤럭시,39,150984.36,49422.91,135240.0,73420.0,287040.0,122360.0,164680.0
갤럭시라이프스타일,81,88872.96,23465.13,87770.0,41760.0,128160.0,69170.0,115280.0
라페어,18,39887.78,13685.89,35935.0,15660.0,61860.0,30972.5,43070.0
마에스트로정장,103,142524.66,30617.06,137870.0,103760.0,255030.0,118580.0,150120.0
바버,6,137280.00,10077.14,132120.0,127440.0,151200.0,129600.0,147060.0
비비안웨스트우드,12,379233.33,66488.09,353500.0,301000.0,511000.0,336000.0,441000.0
에디션 앤드지,12,52218.33,18198.08,42630.0,33930.0,82450.0,42630.0,62335.0
웰메이드스토리 ...,43,45508.60,9983.34,44030.0,30450.0,63640.0,38720.0,48030.0
지오지아,6,48980.00,648.46,48690.0,48690.0,50430.0,48690.0,48690.0
캠브리지,12,57210.83,3465.58,55215.0,55200.0,63240.0,55200.0,57222.5
폴로랄프로렌,38,127705.26,34519.80,111300.0,97300.0,239000.0,97300.0,149000.0
폴스미스,11,191122.73,64059.00,174800.0,139650.0,379050.0,157225.0,192850.0
프랑코페라로,22,84089.09,35844.46,71240.0,63240.0,239320.0,66680.0,92437.5
