brand,# of data,mean,sd,median,min,max,q1,q3
구찌,7,536900.00,75578.87,533500.0,384000.0,659600.0,528000.0,562600.0
닥스 ACC,124,121831.21,42568.51,112330.0,40670.0,325630.0,98972.5,138820.0
닥스 셔츠,30,138730.33,22760.47,126470.0,96500.0,173060.0,124290.0,158480.0
덱케,102,126493.53,30353.67,124870.0,74440.0,236120.0,112060.0,140070.0
도스문도스,8,50025.00,8423.74,43500.0,43500.0,60900.0,43500.0,60900.0
듀퐁ACC,70,403960.86,188675.00,400710.0,182730.0,1038870.0,261030.0,436500.0
라코스테 ACC,71,104833.66,26767.67,111200.0,61040.0,159200.0,83440.0,119200.0
루이까또즈 핸드백,184,92303.26,22226.24,88010.0,50200.0,184700.0,77780.0,106710.0
루즈앤라운지,95,135448.32,29550.95,135300.0,74050.0,220580.0,122180.0,146780.0
리틀파머스,13,75924.62,15947.42,75100.0,64680.0,125160.0,64680.0,82320.0
만다리나덕,40,103633.25,33429.99,111020.0,51680.0,148600.0,72890.0,129790.0
메트로시티 핸드백,56,123396.61,32113.32,121030.0,53760.0,249460.0,114117.5,127907.5
몽블랑,94,325193.72,109885.07,334800.0,120900.0,558000.0,230000.0,399900.0
몽삭,6,90713.33,12735.39,91525.0,75870.0,104400.0,77952.5,103530.0
바쉬,7,560842.86,43834.46,562600.0,522500.0,659600.0,528000.0,562600.0
보테가베네타,12,614016.67,113167.91,577600.0,482600.0,741000.0,482600.0,741000.0
브루노말리,66,91798.79,33316.55,88320.0,49920.0,237600.0,77280.0,88480.0
비비안웨스트우드,21,207666.67,39440.53,196000.0,161000.0,336000.0,196000.0,231000.0
빈폴ACCESS...,71,100143.66,25346.50,102960.0,43520.0,142200.0,81920.0,119700.0
빈폴맨,9,50564.44,8041.74,46620.0,42840.0,61740.0,42840.0,56810.0
쌤소나이트레드,24,35873.33,17267.32,41040.0,15390.0,75240.0,17100.0,46475.0
에스라아서,68,131798.53,69093.20,120650.0,51300.0,235600.0,75050.0,223250.0
에트로,16,287500.00,80192.91,324840.0,143680.0,392850.0,246622.5,347017.5
엘레강스,44,47326.82,15446.02,48770.0,24800.0,96710.0,34305.0,57030.0
엠아이에스,8,30400.00,0.00,30400.0,30400.0,30400.0,30400.0,30400.0
제이에스티나 핸드백,12,114065.00,34979.37,107500.0,64000.0,190000.0,89500.0,138945.0
질스튜어트 ACC,74,65565.68,22116.23,67590.0,33220.0,127430.0,41967.5,79040.0
카운테스마라,28,109430.36,22554.37,112230.0,42630.0,138330.0,105705.0,120930.0
캉골,32,31246.88,7580.98,28800.0,23400.0,44100.0,26100.0,35100.0
캘빈클라인 핸드백,158,75085.06,34404.64,72465.0,27030.0,315690.0,50490.0,84150.0
커스텀멜로우,11,46472.73,14659.48,47070.0,20360.0,63240.0,42475.0,61480.0
코치,47,243699.57,71453.32,256260.0,104110.0,440440.0,208210.0,280280.0
탠디 남성,26,96283.85,30481.47,91150.0,66690.0,201580.0,91150.0,91150.0
톰포드,5,403750.00,0.00,403750.0,403750.0,403750.0,403750.0,403750.0
투미,23,146008.70,54359.13,147900.0,60900.0,261000.0,95700.0,182700.0
폴스미스,28,279232.14,75406.87,275500.0,98800.0,503500.0,237500.0,332737.5
헤리티지레더,11,90595.45,44074.40,82650.0,46550.0,159600.0,58900.0,121125.0
헤지스 핸드백,160,69682.56,20361.70,71800.0,30300.0,110780.0,54377.5,83020.0
