brand,# of data,mean,sd,median,min,max,q1,q3
갤럭시,10,410358.00,99159.33,379960.0,225400.0,525510.0,379960.0,508760.0
갤럭시라이프스타일,10,278128.00,63401.80,256960.0,183080.0,372880.0,237640.0,339895.0
닥터퍼니스트,5,104226.00,20773.88,101790.0,78300.0,140070.0,91350.0,109620.0
마에스트로정장,20,817359.00,295715.83,817160.0,533570.0,1733010.0,576710.0,921570.0
바쏘,7,273852.86,142360.94,200100.0,120060.0,552280.0,196100.0,326165.0
본,16,141691.25,67734.02,135270.0,56030.0,257900.0,85810.0,179895.0
지오지아,11,214899.09,98528.52,207070.0,81980.0,321850.0,109040.0,321850.0
프랑코페라로,7,170268.57,74562.93,159280.0,92080.0,281110.0,109510.0,220195.0
까르뜨블랑슈,6,220065.00,11049.02,221480.0,207310.0,239810.0,210472.5,223000.0
나우NAU,6,307390.00,140486.89,243000.0,155730.0,555930.0,217117.5,389392.5
레스이즈모어,11,218086.36,6064.78,212550.0,212550.0,224730.0,212550.0,224730.0
리얼지오지아[RZ],8,89250.00,19088.22,91250.0,63240.0,111260.0,75240.0,105260.0
바버,19,326557.89,162325.27,387000.0,23400.0,585000.0,183600.0,468000.0
빈폴맨,53,259202.83,63775.64,230690.0,173130.0,439740.0,219100.0,277060.0
씨리얼바이크리스,22,110681.36,38727.86,112905.0,55230.0,199700.0,79640.0,120002.5
제스,21,145456.67,47716.45,148920.0,59510.0,210480.0,135030.0,186990.0
킨록바이킨록앤더슨,17,209424.71,53748.06,199300.0,127270.0,319360.0,159280.0,239320.0
티아이포맨,33,166413.64,46689.20,143280.0,95420.0,263180.0,130830.0,216110.0
프레드페리,5,188290.00,45728.86,191520.0,111720.0,255170.0,184870.0,198170.0
헤지스 남성,6,326486.67,26068.67,344920.0,289620.0,344920.0,303445.0,344920.0
