brand,# of data,mean,sd,median,min,max,q1,q3
CK남성,12,200892.50,37846.38,216750.0,117990.0,229570.0,203812.5,220590.0
COS,56,120189.29,28929.74,115000.0,49500.0,215000.0,105000.0,135000.0
DKNY남성,9,193736.67,10859.40,184870.0,184870.0,211470.0,184870.0,198170.0
TNGT,11,78256.36,8395.23,80230.0,65510.0,87960.0,72870.0,87590.0
갤럭시라이프스타일,21,72605.71,15104.30,69170.0,45990.0,100050.0,61440.0,88850.0
까르뜨블랑슈,213,72224.74,27776.05,71240.0,30450.0,239810.0,55230.0,79240.0
나우NAU,65,79992.15,52714.50,51330.0,24020.0,225330.0,42630.0,109020.0
나인,26,57569.23,6538.10,59000.0,45000.0,69000.0,53000.0,61250.0
뉴에라,15,106834.00,26628.67,101460.0,75890.0,139680.0,80150.0,135570.0
디스커버리,91,107124.73,43207.77,90300.0,49000.0,219000.0,77650.0,125300.0
디젤,55,287167.27,126319.62,272510.0,64260.0,618800.0,198135.0,346800.0
라코스테 오리지널,23,109696.09,15244.61,111720.0,85120.0,131670.0,95095.0,118370.0
레노마 캐주얼,32,42103.75,5717.64,42895.0,33930.0,60030.0,36540.0,44830.0
리얼지오지아[RZ],26,30202.69,10064.70,25230.0,21750.0,49940.0,22062.5,33930.0
마인드브릿지,35,48666.00,10582.30,50920.0,29670.0,67920.0,41570.0,55170.0
맥포스,5,150100.00,23270.15,169100.0,121600.0,169100.0,121600.0,169100.0
바버,29,166531.03,26313.14,162000.0,100800.0,225000.0,158400.0,180000.0
바쏘,96,87239.48,28531.50,89650.0,25230.0,158480.0,62437.5,109560.0
본,69,47138.99,23294.31,40020.0,17400.0,113980.0,26100.0,55230.0
브룩스브라더스,91,104776.37,36661.46,92070.0,66220.0,227850.0,81100.0,125550.0
빈폴맨,529,98874.80,17057.35,99540.0,37980.0,155670.0,91590.0,105840.0
스카티스캘리,12,62100.00,6363.96,62100.0,53100.0,71100.0,59850.0,64350.0
시리즈,50,107420.00,24199.36,119000.0,57120.0,149000.0,90900.0,119000.0
씨리얼바이크리스,48,44353.33,19048.14,45430.0,8700.0,103260.0,34370.0,52350.0
씨피컴퍼니,25,215823.20,25643.92,212400.0,162000.0,265500.0,206100.0,225900.0
애드혹,50,39129.40,16336.70,34720.0,16530.0,86130.0,25230.0,42630.0
앤듀,20,42375.00,9342.41,46110.0,32370.0,51550.0,32370.0,51550.0
에디션 앤드지,126,55903.81,17512.88,47230.0,21750.0,143280.0,47230.0,60260.0
에트로,6,325878.33,117166.72,281110.0,262370.0,587200.0,267055.0,281110.0
올젠,123,54185.45,17770.78,44100.0,33600.0,103600.0,42630.0,59230.0
인터메조,49,77817.76,19797.06,79240.0,47230.0,143280.0,71240.0,79240.0
제스,16,40582.50,16207.70,33930.0,25230.0,90140.0,33930.0,44850.0
지오지아,107,61010.93,21770.14,62440.0,26100.0,119260.0,40995.0,72840.0
지이크,18,52156.67,10137.81,47630.0,40020.0,79240.0,47230.0,61437.5
캉골,9,57677.78,5704.49,55800.0,55250.0,73800.0,55800.0,55800.0
커스텀멜로우,9,88804.44,30890.50,71240.0,55230.0,127880.0,63240.0,117650.0
코에보,37,120355.14,46777.84,107100.0,54000.0,256650.0,89100.0,133200.0
퀵실버,27,53662.22,8009.29,52790.0,39890.0,75740.0,48200.0,60440.0
클럽캠브리지,20,66272.00,14421.48,68730.0,33930.0,86130.0,57532.5,75890.0
킨록바이킨록앤더슨,102,55470.49,14845.11,47230.0,33930.0,83250.0,42630.0,66680.0
타미힐피거 남성,134,100311.04,27908.64,105840.0,47520.0,160200.0,79920.0,112140.0
탑텐,28,18221.07,7869.54,15145.0,7750.0,43420.0,12970.0,26020.0
티아이포맨,113,58516.81,12221.40,54920.0,30450.0,81150.0,47230.0,64590.0
프랑코페라로,138,67226.67,22279.29,66680.0,21530.0,142480.0,47230.0,79240.0
프레드페리,18,145360.56,33818.25,131670.0,111720.0,218120.0,118370.0,171570.0
피스워커,27,82477.78,7392.81,84000.0,69000.0,108000.0,78000.0,84000.0
헤지스 남성,101,84540.30,19597.71,84070.0,59880.0,137380.0,65930.0,96170.0
흄,5,26480.00,3320.00,24820.0,24820.0,33120.0,24820.0,24820.0
